PE-35_;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DESERCIONES - CANCELACIÓN DE MATRÍCULA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;FECHA_INICIO_FICHA;FECHA_TERMINACION_FICHA;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;NIVEL_FORMACION;CODIGO_CONVENIO;NOMBRE_CONVENIO;AMPLIACION_COBERTURA;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;MODALIDAD_FORMACION;TOTAL_APRENDICES_MATRICULADOS;DESERTORES_AÑO_ACTUAL;DESERTORES_A_OTRO_AÑO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2452451;12452451;24/01/2022;23/01/2024;525203;100;ENTRENAMIENTO DEPORTIVO;TECNÓLOGO;0;;;0;;PRESENCIAL;20;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2452468;12452468;24/01/2022;23/04/2024;525214;2;ACTIVIDAD FISICA;TECNÓLOGO;0;;;0;;PRESENCIAL;22;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2452480;12452480;24/01/2022;23/04/2024;821222;4;ELECTRICIDAD INDUSTRIAL;TECNÓLOGO;0;;;0;;PRESENCIAL;23;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2452714;12452714;24/01/2022;23/04/2024;225219;1;DIBUJO Y MODELADO ARQUITECTONICO Y DE INGENIERIA;TECNÓLOGO;4;CURSOS FIC;N;0;;PRESENCIAL;22;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2455244;12455244;29/11/2021;28/02/2024;228118;1;ANALISIS Y DESARROLLO DE SOFTWARE.;TECNÓLOGO;0;;;0;;VIRTUAL;33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2468084;12468084;13/12/2021;01/05/2024;821203;1;IMPLEMENTACION DE REDES Y SERVICIOS DE TELECOMUNICACIONES;TECNÓLOGO;0;;;2135;ATENCION A INSTITUCIONES;PRESENCIAL;21;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2469519;12469519;16/12/2021;15/03/2024;225311;1;LEVANTAMIENTOS TOPOGRAFICOS Y GEORREFERENCIACION;TECNÓLOGO;4;CURSOS FIC;N;0;;PRESENCIAL;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2469533;12469533;16/12/2021;15/03/2024;921200;1;SUPERVISION EN SISTEMAS DE AGUA Y SANEAMIENTO;TECNÓLOGO;0;;;2135;ATENCION A INSTITUCIONES;PRESENCIAL;20;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2500262;12500262;23/02/2022;22/05/2024;821203;1;IMPLEMENTACION DE REDES Y SERVICIOS DE TELECOMUNICACIONES;TECNÓLOGO;0;;;2135;ATENCION A INSTITUCIONES;PRESENCIAL;31;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501304;12501304;18/04/2022;17/07/2024;525214;2;ACTIVIDAD FISICA;TECNÓLOGO;0;;;0;;PRESENCIAL;21;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501318;12501318;18/04/2022;17/07/2024;524703;1;ANIMACION 3D.;TECNÓLOGO;0;;;0;;PRESENCIAL;23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501330;12501330;18/04/2022;17/07/2024;821203;1;IMPLEMENTACION DE REDES Y SERVICIOS DE TELECOMUNICACIONES;TECNÓLOGO;0;;;0;;PRESENCIAL;21;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501337;12501337;18/04/2022;17/04/2024;525203;100;ENTRENAMIENTO DEPORTIVO;TECNÓLOGO;0;;;0;;PRESENCIAL;33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501338;12501338;18/04/2022;17/04/2024;525203;100;ENTRENAMIENTO DEPORTIVO;TECNÓLOGO;0;;;0;;PRESENCIAL;24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501339;12501339;18/04/2022;17/07/2024;525214;2;ACTIVIDAD FISICA;TECNÓLOGO;0;;;0;;PRESENCIAL;22;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501341;12501341;18/04/2022;17/07/2024;225219;1;DIBUJO Y MODELADO ARQUITECTONICO Y DE INGENIERIA;TECNÓLOGO;4;CURSOS FIC;N;0;;PRESENCIAL;25;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501345;12501345;18/04/2022;17/07/2024;821222;4;ELECTRICIDAD INDUSTRIAL;TECNÓLOGO;0;;;0;;PRESENCIAL;24;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501355;12501355;18/04/2022;17/07/2024;224201;1;DESARROLLO DE SISTEMAS ELECTRONICOS INDUSTRIALES;TECNÓLOGO;0;;;0;;PRESENCIAL;22;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501357;12501357;18/04/2022;17/04/2024;223219;102;MANTENIMIENTO MECATRÓNICO DE AUTOMOTORES;TECNÓLOGO;0;;;0;;PRESENCIAL;27;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501358;12501358;18/04/2022;17/04/2024;223219;102;MANTENIMIENTO MECATRÓNICO DE AUTOMOTORES;TECNÓLOGO;0;;;0;;PRESENCIAL;23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501360;12501360;18/04/2022;17/07/2024;821222;4;ELECTRICIDAD INDUSTRIAL;TECNÓLOGO;0;;;0;;PRESENCIAL;26;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501363;12501363;18/04/2022;17/04/2024;621201;102;GESTIÓN EMPRESARIAL;TECNÓLOGO;0;;;0;;PRESENCIAL;32;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501365;12501365;18/04/2022;17/07/2024;921200;1;SUPERVISION EN SISTEMAS DE AGUA Y SANEAMIENTO;TECNÓLOGO;0;;;0;;PRESENCIAL;23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2501367;12501367;18/04/2022;17/04/2024;525203;100;ENTRENAMIENTO DEPORTIVO;TECNÓLOGO;0;;;0;;PRESENCIAL;21;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2556678;12556678;18/07/2022;17/10/2024;228118;1;ANALISIS Y DESARROLLO DE SOFTWARE.;TECNÓLOGO;0;;;0;;PRESENCIAL;24;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2556680;12556680;18/07/2022;17/10/2024;525214;2;ACTIVIDAD FISICA;TECNÓLOGO;0;;;0;;PRESENCIAL;23;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2556699;12556699;18/07/2022;17/10/2024;224312;1;AUTOMATIZACION DE SISTEMAS MECATRONICOS;TECNÓLOGO;0;;;0;;PRESENCIAL;18;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2556710;12556710;18/07/2022;17/12/2024;223107;1;CONSTRUCCION DE INFRAESTRUCTURA VIAL;TECNÓLOGO;4;CURSOS FIC;N;0;;PRESENCIAL;18;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2556718;12556718;18/07/2022;17/01/2025;223104;1;CONSTRUCCION EN EDIFICACIONES.;TECNÓLOGO;4;CURSOS FIC;N;0;;PRESENCIAL;26;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2556780;12556780;18/07/2022;17/07/2024;525203;100;ENTRENAMIENTO DEPORTIVO;TECNÓLOGO;0;;;0;;PRESENCIAL;24;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2556883;12556883;18/07/2022;17/07/2024;223219;102;MANTENIMIENTO MECATRÓNICO DE AUTOMOTORES;TECNÓLOGO;0;;;0;;PRESENCIAL;26;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
